timestamp,device_id,dev_eui,fcnt,encryption_scheme,payload_length,encrypted_payload_length,encryption_time_ns,transmission_time_s,energy_consumption_nj,packet_loss,gateway_id,snr,rssi,data_rate,frequency,sf,bandwidth_hz,rx_power_dbm,tx_start,tx_end
336.0,DEV_020,b2c201b84a9af945,6,Advanced-ECC-AES,37,217,2144800,0.171648,4234997.396956361,False,GW_1,30.936775797464858,-82.93185124450844,6,867.5,7,250000,-82.93185124450844,336.0,336.171648
340.0,DEV_006,787176f17fbdca08,10,ChaCha20-Poly1305-Lite,33,49,70400,0.024384,352502.342843117,False,GW_1,26.188073646183017,-84.29613246901096,5,868.5,7,500000,-84.29613246901096,340.0,340.024384
340.0,DEV_016,9439ff9ffb85875d,10,Advanced-ECC-AES,44,224,1995400,0.17676799999999998,2163033.283811834,False,GW_2,20.805108019374224,-92.49370785485279,6,867.1,7,250000,-92.49370785485279,340.0,340.176768
340.0,DEV_017,17ffad60894390d1,10,Hybrid-ECC-AES,19,67,148600,0.030784,357009.9384631484,False,GW_1,19.412081543984467,-90.64572667385964,5,867.7,7,500000,-90.64572667385964,340.0,340.030784
340.0,DEV_019,e41b936a20363a0c,1,ChaCha20-Poly1305,35,63,28200,2.793472,28591667.440067127,False,GW_1,25.44919325410322,-91.43209030321893,0,867.3,12,125000,-91.43209030321893,340.0,342.793472
362.0,DEV_002,11fa48e6a768a183,2,Advanced-ECC-AES,21,201,1366800,0.461312,6517930.448028314,False,GW_1,24.347149436052522,-88.57433112498467,5,867.5,10,500000,-88.57433112498467,362.0,362.461312
362.0,DEV_009,aa6908fa03f6d75d,2,AES-128-GCM,49,77,96400,0.451584,10137377.003430646,False,GW_2,27.27526849277818,-90.75917248531213,3,867.3,9,125000,-90.75917248531213,362.0,362.451584
362.0,DEV_014,6d10c6ab3016214a,2,ChaCha20-Poly1305,25,53,38600,0.328704,6331240.140147662,False,GW_2,54.15060017431095,-63.28509899582347,3,867.5,9,125000,-63.28509899582347,362.0,362.328704
363.0,DEV_005,58ea5af6ab6a0941,9,ChaCha20-Poly1305-Lite,49,65,24100,0.369664,7867583.637984228,False,GW_1,26.587424788746624,-87.31245029652025,5,867.5,10,250000,-87.31245029652025,363.0,363.369664
365.0,DEV_004,0fdf179ede7911aa,5,AES-128-GCM,11,39,55300,0.077056,850858.745599224,False,GW_1,18.69306309282043,-94.95829349085005,5,867.1,8,250000,-94.95829349085005,365.0,365.077056
365.0,DEV_007,e3d098a80cc45ce0,5,ChaCha20-Poly1305-Lite,41,57,26700,0.308224,6920811.008035603,False,GW_2,21.94100071731304,-87.99807659072394,5,867.5,11,500000,-87.99807659072394,365.0,365.308224
365.0,DEV_008,acd53140c023c37a,5,ChaCha20-Poly1305-Lite,48,64,23200,0.097536,1818310.923504727,False,GW_2,42.56438911600138,-69.04844732435106,5,868.3,9,500000,-69.04844732435106,365.0,365.097536
365.0,DEV_011,3e9eab81acc2d90c,5,ChaCha20-Poly1305,32,60,23000,0.028224,427343.74388669414,False,GW_1,26.907864759384303,-84.3200686914035,5,868.5,7,500000,-84.3200686914035,365.0,365.028224
365.0,DEV_013,3f1fdbaceaf6af6d,5,AES-128-GCM,26,54,84000,0.184832,4422971.538182129,False,GW_2,42.75869362948522,-74.53037272765474,4,867.5,8,125000,-74.53037272765474,365.0,365.184832
